1000	1250	PairSmallest
d	sum	lb	lbsoln	i/s	opt
1	556086	445	1000	1	2.24719
1	581784	466	1000	1	2.14592
1	583254	467	1000	1	2.14133
1	576517	462	1000	1	2.1645
1	580844	465	1000	1	2.15054
1	575980	461	1000	1	2.1692
1	570172	457	1000	1	2.18818
1	573823	460	1000	1	2.17391
1	590716	473	1000	1	2.11416
1	579300	464	1000	1	2.15517
1	579280	464	1000	1	2.15517
1	587663	471	1000	1	2.12314
1	584786	468	1000	1	2.13675
1	583552	467	1000	1	2.14133
1	571943	458	1000	1	2.18341
1	588942	472	1000	1	2.11864
1	563661	451	1000	1	2.21729
1	567810	455	1000	1	2.1978
1	578114	463	1000	1	2.15983
1	576876	462	1000	1	2.1645
1	575147	461	1000	1	2.1692
1	579343	464	1000	1	2.15517
1	572030	458	1000	1	2.18341
1	578069	463	1000	1	2.15983
1	566461	454	1000	1	2.20264
1	570286	457	1000	1	2.18818
1	570423	457	1000	1	2.18818
1	577161	462	1000	1	2.1645
1	586302	470	1000	1	2.12766
1	563514	451	1000	1	2.21729
1	577101	462	1000	1	2.1645
1	581124	465	1000	1	2.15054
1	577786	463	1000	1	2.15983
1	571593	458	1000	1	2.18341
1	556271	446	1000	1	2.24215
1	574243	460	1000	1	2.17391
1	586980	470	1000	1	2.12766
1	571592	458	1000	1	2.18341
1	584257	468	1000	1	2.13675
1	579433	464	1000	1	2.15517
1	580903	465	1000	1	2.15054
1	572221	458	1000	1	2.18341
1	576449	462	1000	1	2.1645
1	563381	451	1000	1	2.21729
1	583238	467	1000	1	2.14133
1	576507	462	1000	1	2.1645
1	576960	462	1000	1	2.1645
1	583365	467	1000	1	2.14133
1	590569	473	1000	1	2.11416
1	569729	456	1000	1	2.19298
1	578456	463	1000	1	2.15983
1	573732	459	1000	1	2.17865
1	580505	465	1000	1	2.15054
1	579986	464	1000	1	2.15517
1	573136	459	1000	1	2.17865
1	569057	456	1000	1	2.19298
1	565201	453	1000	1	2.20751
1	570504	457	1000	1	2.18818
1	578508	463	1000	1	2.15983
1	578439	463	1000	1	2.15983
1	573072	459	1000	1	2.17865
1	582673	467	1000	1	2.14133
1	584138	468	1000	1	2.13675
1	561961	450	1000	1	2.22222
1	575744	461	1000	1	2.1692
1	572736	459	1000	1	2.17865
1	577932	463	1000	1	2.15983
1	566727	454	1000	1	2.20264
1	570531	457	1000	1	2.18818
1	567933	455	1000	1	2.1978
1	554868	444	1000	1	2.25225
1	569512	456	1000	1	2.19298
1	590837	473	1000	1	2.11416
1	571425	458	1000	1	2.18341
1	586499	470	1000	1	2.12766
1	569565	456	1000	1	2.19298
1	569845	456	1000	1	2.19298
1	577705	463	1000	1	2.15983
1	585603	469	1000	1	2.1322
1	563346	451	1000	1	2.21729
1	553830	444	1000	1	2.25225
1	571224	457	1000	1	2.18818
