100	1250	PairSmallest
d	sum	lb	lbsoln	i/s	opt
1	57134	46	100	1	2.17391
1	56632	46	100	1	2.17391
1	57201	46	100	1	2.17391
1	60532	49	100	1	2.04082
1	57914	47	100	1	2.12766
1	58504	47	100	1	2.12766
1	54242	44	100	1	2.27273
1	58446	47	100	1	2.12766
1	56008	45	100	1	2.22222
1	55660	45	100	1	2.22222
1	58426	47	100	1	2.12766
1	58241	47	100	1	2.12766
1	59516	48	100	1	2.08333
1	57307	46	100	1	2.17391
1	58147	47	100	1	2.12766
1	60869	49	100	1	2.04082
1	61337	50	100	1	2
1	55121	45	100	1	2.22222
1	51979	42	100	1	2.38095
1	57644	47	100	1	2.12766
1	57940	47	100	1	2.12766
1	58390	47	100	1	2.12766
1	55736	45	100	1	2.22222
1	56287	46	100	1	2.17391
1	58227	47	100	1	2.12766
1	55540	45	100	1	2.22222
1	54439	44	100	1	2.27273
1	60345	49	100	1	2.04082
1	57821	47	100	1	2.12766
1	56527	46	100	1	2.17391
1	53077	43	100	1	2.32558
1	54552	44	100	1	2.27273
1	56460	46	100	1	2.17391
1	55750	45	100	1	2.22222
1	54960	44	100	1	2.27273
1	57219	46	100	1	2.17391
1	58730	47	100	1	2.12766
1	52468	42	100	1	2.38095
1	56773	46	100	1	2.17391
1	56430	46	100	1	2.17391
1	57044	46	100	1	2.17391
1	57344	46	100	1	2.17391
1	59959	48	100	1	2.08333
1	58344	47	100	1	2.12766
1	56086	45	100	1	2.22222
1	56255	46	100	1	2.17391
1	60757	49	100	1	2.04082
1	57691	47	100	1	2.12766
1	59663	48	100	1	2.08333
1	59378	48	100	1	2.08333
1	53728	43	100	1	2.32558
1	53470	43	100	1	2.32558
1	56598	46	100	1	2.17391
1	58491	47	100	1	2.12766
1	55753	45	100	1	2.22222
1	57155	46	100	1	2.17391
1	60319	49	100	1	2.04082
1	54232	44	100	1	2.27273
1	59348	48	100	1	2.08333
1	57714	47	100	1	2.12766
1	54464	44	100	1	2.27273
1	58170	47	100	1	2.12766
1	57979	47	100	1	2.12766
1	61424	50	100	1	2
1	58031	47	100	1	2.12766
1	55742	45	100	1	2.22222
1	58191	47	100	1	2.12766
1	57162	46	100	1	2.17391
1	58046	47	100	1	2.12766
1	59777	48	100	1	2.08333
1	52369	42	100	1	2.38095
1	54045	44	100	1	2.27273
1	59515	48	100	1	2.08333
1	57823	47	100	1	2.12766
1	55453	45	100	1	2.22222
1	57169	46	100	1	2.17391
1	57687	47	100	1	2.12766
1	58378	47	100	1	2.12766
1	56444	46	100	1	2.17391
1	57519	47	100	1	2.12766
1	57204	46	100	1	2.17391
1	57423	46	100	1	2.17391
1	56043	45	100	1	2.22222
1	62018	50	100	1	2
1	57669	47	100	1	2.12766
1	60051	49	100	1	2.04082
1	60298	49	100	1	2.04082
1	57709	47	100	1	2.12766
1	59590	48	100	1	2.08333
1	58915	48	100	1	2.08333
1	59314	48	100	1	2.08333
1	56274	46	100	1	2.17391
1	54645	44	100	1	2.27273
1	54777	44	100	1	2.27273
1	62683	51	100	1	1.96078
1	55370	45	100	1	2.22222
1	55232	45	100	1	2.22222
1	58039	47	100	1	2.12766
1	56803	46	100	1	2.17391
1	59724	48	100	1	2.08333
1	53102	43	100	1	2.32558
1	58167	47	100	1	2.12766
1	57169	46	100	1	2.17391
1	57179	46	100	1	2.17391
1	56532	46	100	1	2.17391
1	59419	48	100	1	2.08333
1	57825	47	100	1	2.12766
1	53804	44	100	1	2.27273
1	56184	45	100	1	2.22222
1	56184	45	100	1	2.22222
1	56438	46	100	1	2.17391
1	57705	47	100	1	2.12766
1	54181	44	100	1	2.27273
1	58028	47	100	1	2.12766
1	57497	46	100	1	2.17391
1	52233	42	100	1	2.38095
1	58405	47	100	1	2.12766
1	56163	45	100	1	2.22222
1	59317	48	100	1	2.08333
1	57392	46	100	1	2.17391
1	57260	46	100	1	2.17391
1	55270	45	100	1	2.22222
1	54510	44	100	1	2.27273
1	51891	42	100	1	2.38095
1	57247	46	100	1	2.17391
1	57590	47	100	1	2.12766
1	59867	48	100	1	2.08333
1	57051	46	100	1	2.17391
1	58481	47	100	1	2.12766
1	57753	47	100	1	2.12766
1	58824	48	100	1	2.08333
1	56277	46	100	1	2.17391
1	54932	44	100	1	2.27273
1	57337	46	100	1	2.17391
1	56184	45	100	1	2.22222
1	54075	44	100	1	2.27273
1	58772	48	100	1	2.08333
1	57965	47	100	1	2.12766
1	57683	47	100	1	2.12766
1	58593	47	100	1	2.12766
1	55175	45	100	1	2.22222
1	55935	45	100	1	2.22222
1	62992	51	100	1	1.96078
1	57931	47	100	1	2.12766
1	57437	46	100	1	2.17391
1	55203	45	100	1	2.22222
1	59230	48	100	1	2.08333
1	58059	47	100	1	2.12766
1	62456	50	100	1	2
1	57490	46	100	1	2.17391
1	56137	45	100	1	2.22222
1	51263	42	100	1	2.38095
1	59262	48	100	1	2.08333
1	56514	46	100	1	2.17391
1	60252	49	100	1	2.04082
1	60197	49	100	1	2.04082
1	58072	47	100	1	2.12766
1	59355	48	100	1	2.08333
1	60171	49	100	1	2.04082
1	58881	48	100	1	2.08333
1	58544	47	100	1	2.12766
1	59741	48	100	1	2.08333
1	59605	48	100	1	2.08333
1	60643	49	100	1	2.04082
1	53715	43	100	1	2.32558
1	55370	45	100	1	2.22222
1	60462	49	100	1	2.04082
1	62442	50	100	1	2
1	60164	49	100	1	2.04082
1	56853	46	100	1	2.17391
1	57237	46	100	1	2.17391
1	52266	42	100	1	2.38095
1	58661	47	100	1	2.12766
1	57636	47	100	1	2.12766
1	57395	46	100	1	2.17391
1	56545	46	100	1	2.17391
1	62018	50	100	1	2
1	58563	47	100	1	2.12766
1	58989	48	100	1	2.08333
1	54545	44	100	1	2.27273
1	55469	45	100	1	2.22222
1	56221	45	100	1	2.22222
1	54802	44	100	1	2.27273
1	52127	42	100	1	2.38095
1	51893	42	100	1	2.38095
1	56231	45	100	1	2.22222
1	57352	46	100	1	2.17391
1	60118	49	100	1	2.04082
1	56344	46	100	1	2.17391
1	58409	47	100	1	2.12766
1	55202	45	100	1	2.22222
1	53982	44	100	1	2.27273
1	57680	47	100	1	2.12766
1	57980	47	100	1	2.12766
1	56365	46	100	1	2.17391
1	59743	48	100	1	2.08333
1	61397	50	100	1	2
1	57871	47	100	1	2.12766
1	55986	45	100	1	2.22222
1	62468	50	100	1	2
1	55612	45	100	1	2.22222
1	55738	45	100	1	2.22222
1	54369	44	100	1	2.27273
1	56736	46	100	1	2.17391
1	55818	45	100	1	2.22222
1	53232	43	100	1	2.32558
1	56881	46	100	1	2.17391
1	57636	47	100	1	2.12766
1	58906	48	100	1	2.08333
1	58871	48	100	1	2.08333
1	62141	50	100	1	2
1	54006	44	100	1	2.27273
1	58203	47	100	1	2.12766
1	56852	46	100	1	2.17391
1	62516	51	100	1	1.96078
1	57677	47	100	1	2.12766
1	55249	45	100	1	2.22222
1	59751	48	100	1	2.08333
1	54857	44	100	1	2.27273
1	56279	46	100	1	2.17391
1	60568	49	100	1	2.04082
1	57632	47	100	1	2.12766
1	60860	49	100	1	2.04082
1	58720	47	100	1	2.12766
1	60236	49	100	1	2.04082
1	56927	46	100	1	2.17391
1	57077	46	100	1	2.17391
1	59279	48	100	1	2.08333
1	60433	49	100	1	2.04082
1	57027	46	100	1	2.17391
1	57880	47	100	1	2.12766
1	60122	49	100	1	2.04082
1	55450	45	100	1	2.22222
1	53914	44	100	1	2.27273
1	56283	46	100	1	2.17391
1	55411	45	100	1	2.22222
1	58949	48	100	1	2.08333
1	59382	48	100	1	2.08333
1	55420	45	100	1	2.22222
1	62220	50	100	1	2
1	59475	48	100	1	2.08333
1	53713	43	100	1	2.32558
1	54770	44	100	1	2.27273
1	59331	48	100	1	2.08333
1	55592	45	100	1	2.22222
1	60391	49	100	1	2.04082
1	63262	51	100	1	1.96078
1	54280	44	100	1	2.27273
1	59128	48	100	1	2.08333
1	55552	45	100	1	2.22222
1	54654	44	100	1	2.27273
1	57734	47	100	1	2.12766
1	58476	47	100	1	2.12766
1	58120	47	100	1	2.12766
1	54220	44	100	1	2.27273
1	59686	48	100	1	2.08333
1	56255	46	100	1	2.17391
1	58097	47	100	1	2.12766
1	56844	46	100	1	2.17391
1	59846	48	100	1	2.08333
1	58429	47	100	1	2.12766
1	57687	47	100	1	2.12766
1	55721	45	100	1	2.22222
1	60719	49	100	1	2.04082
1	61133	49	100	1	2.04082
1	60170	49	100	1	2.04082
1	57483	46	100	1	2.17391
1	58573	47	100	1	2.12766
1	54171	44	100	1	2.27273
1	53550	43	100	1	2.32558
1	62975	51	100	1	1.96078
1	54587	44	100	1	2.27273
1	56862	46	100	1	2.17391
1	58947	48	100	1	2.08333
1	56002	45	100	1	2.22222
1	53329	43	100	1	2.32558
1	59423	48	100	1	2.08333
1	58200	47	100	1	2.12766
1	55330	45	100	1	2.22222
1	55370	45	100	1	2.22222
1	60161	49	100	1	2.04082
1	57790	47	100	1	2.12766
1	60512	49	100	1	2.04082
1	56219	45	100	1	2.22222
1	59340	48	100	1	2.08333
1	58987	48	100	1	2.08333
1	54056	44	100	1	2.27273
1	52270	42	100	1	2.38095
1	59174	48	100	1	2.08333
1	54196	44	100	1	2.27273
1	54529	44	100	1	2.27273
1	53269	43	100	1	2.32558
1	60036	49	100	1	2.04082
1	58602	47	100	1	2.12766
1	54969	44	100	1	2.27273
1	60944	49	100	1	2.04082
1	56656	46	100	1	2.17391
1	60287	49	100	1	2.04082
1	59065	48	100	1	2.08333
1	54911	44	100	1	2.27273
1	58145	47	100	1	2.12766
1	56055	45	100	1	2.22222
1	55099	45	100	1	2.22222
1	56565	46	100	1	2.17391
1	63660	51	100	1	1.96078
1	57093	46	100	1	2.17391
1	56374	46	100	1	2.17391
1	57895	47	100	1	2.12766
1	55879	45	100	1	2.22222
1	59931	48	100	1	2.08333
1	59447	48	100	1	2.08333
1	52429	42	100	1	2.38095
1	57094	46	100	1	2.17391
1	59697	48	100	1	2.08333
1	54313	44	100	1	2.27273
1	58834	48	100	1	2.08333
1	57361	46	100	1	2.17391
1	57351	46	100	1	2.17391
1	55847	45	100	1	2.22222
1	57370	46	100	1	2.17391
1	58847	48	100	1	2.08333
1	58492	47	100	1	2.12766
1	60313	49	100	1	2.04082
1	54059	44	100	1	2.27273
1	57212	46	100	1	2.17391
1	57935	47	100	1	2.12766
1	57538	47	100	1	2.12766
1	58980	48	100	1	2.08333
1	57744	47	100	1	2.12766
1	57148	46	100	1	2.17391
1	60148	49	100	1	2.04082
1	56164	45	100	1	2.22222
1	55908	45	100	1	2.22222
1	54467	44	100	1	2.27273
1	57917	47	100	1	2.12766
1	53963	44	100	1	2.27273
1	55341	45	100	1	2.22222
1	61818	50	100	1	2
1	60329	49	100	1	2.04082
1	59459	48	100	1	2.08333
1	64198	52	100	1	1.92308
1	54870	44	100	1	2.27273
1	56948	46	100	1	2.17391
1	59799	48	100	1	2.08333
1	54340	44	100	1	2.27273
1	56231	45	100	1	2.22222
1	57069	46	100	1	2.17391
1	58371	47	100	1	2.12766
1	56760	46	100	1	2.17391
1	54983	44	100	1	2.27273
1	60939	49	100	1	2.04082
1	56230	45	100	1	2.22222
1	56038	45	100	1	2.22222
1	57196	46	100	1	2.17391
1	58561	47	100	1	2.12766
1	59327	48	100	1	2.08333
1	55093	45	100	1	2.22222
1	57139	46	100	1	2.17391
1	58539	47	100	1	2.12766
1	56476	46	100	1	2.17391
1	57791	47	100	1	2.12766
1	48298	39	100	1	2.5641
1	59393	48	100	1	2.08333
1	60069	49	100	1	2.04082
1	54073	44	100	1	2.27273
1	59641	48	100	1	2.08333
1	61940	50	100	1	2
1	55203	45	100	1	2.22222
1	58921	48	100	1	2.08333
1	59608	48	100	1	2.08333
1	57449	46	100	1	2.17391
1	59555	48	100	1	2.08333
1	54312	44	100	1	2.27273
1	56856	46	100	1	2.17391
1	59211	48	100	1	2.08333
1	56944	46	100	1	2.17391
1	54287	44	100	1	2.27273
1	56347	46	100	1	2.17391
1	58808	48	100	1	2.08333
1	62349	50	100	1	2
1	56623	46	100	1	2.17391
1	56694	46	100	1	2.17391
1	59924	48	100	1	2.08333
1	58477	47	100	1	2.12766
1	55902	45	100	1	2.22222
1	53420	43	100	1	2.32558
1	56053	45	100	1	2.22222
1	55659	45	100	1	2.22222
1	62165	50	100	1	2
1	57070	46	100	1	2.17391
1	56966	46	100	1	2.17391
1	58749	47	100	1	2.12766
1	53822	44	100	1	2.27273
1	57569	47	100	1	2.12766
1	56495	46	100	1	2.17391
1	59068	48	100	1	2.08333
1	53469	43	100	1	2.32558
1	58442	47	100	1	2.12766
1	58332	47	100	1	2.12766
1	55986	45	100	1	2.22222
1	60923	49	100	1	2.04082
1	54122	44	100	1	2.27273
1	59095	48	100	1	2.08333
1	59560	48	100	1	2.08333
1	62648	51	100	1	1.96078
1	60861	49	100	1	2.04082
1	58513	47	100	1	2.12766
1	54348	44	100	1	2.27273
1	56645	46	100	1	2.17391
1	57894	47	100	1	2.12766
1	57063	46	100	1	2.17391
1	60038	49	100	1	2.04082
1	57098	46	100	1	2.17391
1	55887	45	100	1	2.22222
1	58182	47	100	1	2.12766
1	56260	46	100	1	2.17391
1	57449	46	100	1	2.17391
1	55855	45	100	1	2.22222
1	55060	45	100	1	2.22222
1	57444	46	100	1	2.17391
1	51943	42	100	1	2.38095
1	55384	45	100	1	2.22222
1	58071	47	100	1	2.12766
1	59034	48	100	1	2.08333
1	54888	44	100	1	2.27273
1	55884	45	100	1	2.22222
1	60722	49	100	1	2.04082
1	59624	48	100	1	2.08333
1	56641	46	100	1	2.17391
1	58382	47	100	1	2.12766
1	57047	46	100	1	2.17391
1	60349	49	100	1	2.04082
1	60749	49	100	1	2.04082
1	61812	50	100	1	2
1	55619	45	100	1	2.22222
1	58346	47	100	1	2.12766
1	60905	49	100	1	2.04082
1	59506	48	100	1	2.08333
1	57855	47	100	1	2.12766
1	56845	46	100	1	2.17391
1	57945	47	100	1	2.12766
1	60638	49	100	1	2.04082
1	60759	49	100	1	2.04082
1	54254	44	100	1	2.27273
1	61930	50	100	1	2
1	55445	45	100	1	2.22222
1	55395	45	100	1	2.22222
1	58909	48	100	1	2.08333
1	54867	44	100	1	2.27273
1	62607	51	100	1	1.96078
1	56585	46	100	1	2.17391
1	58247	47	100	1	2.12766
1	63069	51	100	1	1.96078
1	56025	45	100	1	2.22222
1	59147	48	100	1	2.08333
1	58316	47	100	1	2.12766
1	56858	46	100	1	2.17391
1	56749	46	100	1	2.17391
1	59552	48	100	1	2.08333
1	58698	47	100	1	2.12766
1	53768	44	100	1	2.27273
1	58120	47	100	1	2.12766
1	59317	48	100	1	2.08333
1	56555	46	100	1	2.17391
1	56723	46	100	1	2.17391
1	57541	47	100	1	2.12766
1	55136	45	100	1	2.22222
1	59051	48	100	1	2.08333
1	57398	46	100	1	2.17391
1	58817	48	100	1	2.08333
