500	1250	PairSmallest
d	sum	lb	lbsoln	i/s	opt
1	290320	233	500	1	2.14592
1	289126	232	500	1	2.15517
1	288623	231	500	1	2.1645
1	294851	236	500	1	2.11864
1	288117	231	500	1	2.1645
1	287024	230	500	1	2.17391
1	287832	231	500	1	2.1645
1	285234	229	500	1	2.18341
1	289418	232	500	1	2.15517
1	284855	228	500	1	2.19298
1	285878	229	500	1	2.18341
1	285512	229	500	1	2.18341
1	290761	233	500	1	2.14592
1	287459	230	500	1	2.17391
1	280319	225	500	1	2.22222
1	287531	231	500	1	2.1645
1	283764	228	500	1	2.19298
1	299333	240	500	1	2.08333
1	290740	233	500	1	2.14592
1	293643	235	500	1	2.12766
1	277178	222	500	1	2.25225
1	291115	233	500	1	2.14592
1	299461	240	500	1	2.08333
1	289453	232	500	1	2.15517
1	292318	234	500	1	2.13675
1	295554	237	500	1	2.1097
1	280174	225	500	1	2.22222
1	290260	233	500	1	2.14592
1	286294	230	500	1	2.17391
1	278884	224	500	1	2.23214
1	289368	232	500	1	2.15517
1	296875	238	500	1	2.10084
1	292131	234	500	1	2.13675
1	277033	222	500	1	2.25225
1	286471	230	500	1	2.17391
1	280559	225	500	1	2.22222
1	274395	220	500	1	2.27273
1	285655	229	500	1	2.18341
1	276810	222	500	1	2.25225
1	285778	229	500	1	2.18341
1	286534	230	500	1	2.17391
1	292171	234	500	1	2.13675
1	305584	245	500	1	2.04082
1	289178	232	500	1	2.15517
1	285472	229	500	1	2.18341
1	278638	223	500	1	2.24215
1	288493	231	500	1	2.1645
1	295248	237	500	1	2.1097
1	287258	230	500	1	2.17391
1	278790	224	500	1	2.23214
1	287096	230	500	1	2.17391
1	289055	232	500	1	2.15517
1	284387	228	500	1	2.19298
1	284904	228	500	1	2.19298
1	291408	234	500	1	2.13675
1	288905	232	500	1	2.15517
1	298256	239	500	1	2.09205
1	293201	235	500	1	2.12766
1	283648	227	500	1	2.20264
1	282954	227	500	1	2.20264
1	292691	235	500	1	2.12766
1	288040	231	500	1	2.1645
1	290617	233	500	1	2.14592
1	293455	235	500	1	2.12766
1	287476	230	500	1	2.17391
1	286063	229	500	1	2.18341
1	284786	228	500	1	2.19298
1	285436	229	500	1	2.18341
1	285253	229	500	1	2.18341
1	273468	219	500	1	2.28311
1	291632	234	500	1	2.13675
1	283591	227	500	1	2.20264
1	286746	230	500	1	2.17391
1	299263	240	500	1	2.08333
1	288342	231	500	1	2.1645
1	284654	228	500	1	2.19298
1	289419	232	500	1	2.15517
1	289937	232	500	1	2.15517
1	287485	230	500	1	2.17391
1	289760	232	500	1	2.15517
1	296156	237	500	1	2.1097
1	291765	234	500	1	2.13675
1	286482	230	500	1	2.17391
1	287140	230	500	1	2.17391
1	286999	230	500	1	2.17391
1	292208	234	500	1	2.13675
1	288221	231	500	1	2.1645
1	284437	228	500	1	2.19298
1	290491	233	500	1	2.14592
1	295624	237	500	1	2.1097
1	289303	232	500	1	2.15517
1	296059	237	500	1	2.1097
1	293074	235	500	1	2.12766
1	290049	233	500	1	2.14592
1	291771	234	500	1	2.13675
1	292113	234	500	1	2.13675
1	286886	230	500	1	2.17391
1	297406	238	500	1	2.10084
1	301241	241	500	1	2.07469
1	286644	230	500	1	2.17391
1	292499	234	500	1	2.13675
1	288437	231	500	1	2.1645
1	287823	231	500	1	2.1645
1	284044	228	500	1	2.19298
1	297834	239	500	1	2.09205
1	287196	230	500	1	2.17391
1	280372	225	500	1	2.22222
1	290266	233	500	1	2.14592
1	292122	234	500	1	2.13675
1	291458	234	500	1	2.13675
1	288901	232	500	1	2.15517
1	289503	232	500	1	2.15517
1	281731	226	500	1	2.21239
1	285126	229	500	1	2.18341
1	285072	229	500	1	2.18341
1	286679	230	500	1	2.17391
1	295025	237	500	1	2.1097
1	288551	231	500	1	2.1645
1	295620	237	500	1	2.1097
1	286001	229	500	1	2.18341
1	279897	224	500	1	2.23214
1	289370	232	500	1	2.15517
1	283335	227	500	1	2.20264
1	295422	237	500	1	2.1097
1	286494	230	500	1	2.17391
1	286127	229	500	1	2.18341
1	296176	237	500	1	2.1097
1	277579	223	500	1	2.24215
1	279830	224	500	1	2.23214
1	287199	230	500	1	2.17391
1	276170	221	500	1	2.26244
1	279785	224	500	1	2.23214
1	292008	234	500	1	2.13675
1	288028	231	500	1	2.1645
1	294712	236	500	1	2.11864
1	285109	229	500	1	2.18341
1	289649	232	500	1	2.15517
1	287714	231	500	1	2.1645
1	283847	228	500	1	2.19298
1	279413	224	500	1	2.23214
1	282774	227	500	1	2.20264
1	281049	225	500	1	2.22222
1	291385	234	500	1	2.13675
1	288294	231	500	1	2.1645
1	289437	232	500	1	2.15517
1	292764	235	500	1	2.12766
1	287784	231	500	1	2.1645
1	291315	234	500	1	2.13675
1	285880	229	500	1	2.18341
1	292986	235	500	1	2.12766
1	273948	220	500	1	2.27273
1	281017	225	500	1	2.22222
1	295311	237	500	1	2.1097
1	283934	228	500	1	2.19298
1	289128	232	500	1	2.15517
1	290010	233	500	1	2.14592
1	293753	236	500	1	2.11864
1	294801	236	500	1	2.11864
1	278405	223	500	1	2.24215
1	284058	228	500	1	2.19298
1	284286	228	500	1	2.19298
1	273235	219	500	1	2.28311
1	278678	223	500	1	2.24215
1	288332	231	500	1	2.1645
1	284800	228	500	1	2.19298
1	290210	233	500	1	2.14592
1	283034	227	500	1	2.20264
1	286561	230	500	1	2.17391
1	291765	234	500	1	2.13675
1	291584	234	500	1	2.13675
1	281044	225	500	1	2.22222
1	274338	220	500	1	2.27273
1	287375	230	500	1	2.17391
1	290256	233	500	1	2.14592
1	286630	230	500	1	2.17391
1	288532	231	500	1	2.1645
1	298882	240	500	1	2.08333
1	284878	228	500	1	2.19298
1	292432	234	500	1	2.13675
1	290605	233	500	1	2.14592
1	289983	232	500	1	2.15517
1	290057	233	500	1	2.14592
1	292812	235	500	1	2.12766
1	281465	226	500	1	2.21239
1	288450	231	500	1	2.1645
1	283324	227	500	1	2.20264
1	289341	232	500	1	2.15517
1	285568	229	500	1	2.18341
1	279053	224	500	1	2.23214
1	288200	231	500	1	2.1645
1	287591	231	500	1	2.1645
1	281225	225	500	1	2.22222
1	286720	230	500	1	2.17391
1	288127	231	500	1	2.1645
1	291501	234	500	1	2.13675
1	296632	238	500	1	2.10084
1	280451	225	500	1	2.22222
1	288025	231	500	1	2.1645
1	280802	225	500	1	2.22222
1	286011	229	500	1	2.18341
1	289293	232	500	1	2.15517
1	285641	229	500	1	2.18341
1	280175	225	500	1	2.22222
1	287203	230	500	1	2.17391
1	283168	227	500	1	2.20264
1	281213	225	500	1	2.22222
1	288468	231	500	1	2.1645
1	291106	233	500	1	2.14592
1	296550	238	500	1	2.10084
1	290833	233	500	1	2.14592
1	289388	232	500	1	2.15517
1	287779	231	500	1	2.1645
1	284773	228	500	1	2.19298
1	281996	226	500	1	2.21239
1	290899	233	500	1	2.14592
1	285560	229	500	1	2.18341
1	288669	231	500	1	2.1645
1	285823	229	500	1	2.18341
1	290664	233	500	1	2.14592
1	290732	233	500	1	2.14592
1	286371	230	500	1	2.17391
1	285646	229	500	1	2.18341
1	287965	231	500	1	2.1645
1	281946	226	500	1	2.21239
1	286496	230	500	1	2.17391
1	297496	238	500	1	2.10084
1	282757	227	500	1	2.20264
1	288258	231	500	1	2.1645
1	277489	222	500	1	2.25225
1	287535	231	500	1	2.1645
1	288951	232	500	1	2.15517
1	285791	229	500	1	2.18341
1	284828	228	500	1	2.19298
1	279102	224	500	1	2.23214
1	282067	226	500	1	2.21239
1	285152	229	500	1	2.18341
1	289478	232	500	1	2.15517
1	285727	229	500	1	2.18341
1	284043	228	500	1	2.19298
1	295144	237	500	1	2.1097
1	290228	233	500	1	2.14592
1	286849	230	500	1	2.17391
1	289030	232	500	1	2.15517
1	279211	224	500	1	2.23214
1	284964	228	500	1	2.19298
1	289213	232	500	1	2.15517
1	286331	230	500	1	2.17391
1	283021	227	500	1	2.20264
1	294118	236	500	1	2.11864
1	285715	229	500	1	2.18341
1	281425	226	500	1	2.21239
1	289333	232	500	1	2.15517
1	287949	231	500	1	2.1645
1	290596	233	500	1	2.14592
1	292782	235	500	1	2.12766
1	285070	229	500	1	2.18341
1	283473	227	500	1	2.20264
1	294901	236	500	1	2.11864
1	291089	233	500	1	2.14592
1	291957	234	500	1	2.13675
1	275113	221	500	1	2.26244
1	287820	231	500	1	2.1645
1	285873	229	500	1	2.18341
1	282068	226	500	1	2.21239
1	287079	230	500	1	2.17391
1	291409	234	500	1	2.13675
1	289701	232	500	1	2.15517
1	292696	235	500	1	2.12766
1	280096	225	500	1	2.22222
1	298678	239	500	1	2.09205
