1000	2500	BasicFFD
d	sum	lb	lbsoln	i/s	opt
1	556086	223	1000	1	4.4843
1	581784	233	1000	1	4.29185
1	583254	234	1000	1	4.2735
1	576517	231	1000	1	4.329
1	580844	233	1000	1	4.29185
1	575980	231	1000	1	4.329
1	570172	229	1000	1	4.36681
1	573823	230	1000	1	4.34783
1	590716	237	1000	1	4.21941
1	579300	232	1000	1	4.31034
1	579280	232	1000	1	4.31034
1	587663	236	1000	1	4.23729
1	584786	234	1000	1	4.2735
1	583552	234	1000	1	4.2735
1	571943	229	1000	1	4.36681
1	588942	236	1000	1	4.23729
1	563661	226	1000	1	4.42478
1	567810	228	1000	1	4.38596
1	578114	232	1000	1	4.31034
1	576876	231	1000	1	4.329
1	575147	231	1000	1	4.329
1	579343	232	1000	1	4.31034
1	572030	229	1000	1	4.36681
1	578069	232	1000	1	4.31034
1	566461	227	1000	1	4.40529
1	570286	229	1000	1	4.36681
1	570423	229	1000	1	4.36681
1	577161	231	1000	1	4.329
1	586302	235	1000	1	4.25532
1	563514	226	1000	1	4.42478
1	577101	231	1000	1	4.329
1	581124	233	1000	1	4.29185
1	577786	232	1000	1	4.31034
1	571593	229	1000	1	4.36681
1	556271	223	1000	1	4.4843
1	574243	230	1000	1	4.34783
1	586980	235	1000	1	4.25532
1	571592	229	1000	1	4.36681
1	584257	234	1000	1	4.2735
1	579433	232	1000	1	4.31034
1	580903	233	1000	1	4.29185
1	572221	229	1000	1	4.36681
1	576449	231	1000	1	4.329
1	563381	226	1000	1	4.42478
1	583238	234	1000	1	4.2735
1	576507	231	1000	1	4.329
1	576960	231	1000	1	4.329
1	583365	234	1000	1	4.2735
1	590569	237	1000	1	4.21941
1	569729	228	1000	1	4.38596
1	578456	232	1000	1	4.31034
1	573732	230	1000	1	4.34783
1	580505	233	1000	1	4.29185
1	579986	232	1000	1	4.31034
1	573136	230	1000	1	4.34783
1	569057	228	1000	1	4.38596
1	565201	227	1000	1	4.40529
1	570504	229	1000	1	4.36681
1	578508	232	1000	1	4.31034
1	578439	232	1000	1	4.31034
1	573072	230	1000	1	4.34783
1	582673	234	1000	1	4.2735
1	584138	234	1000	1	4.2735
1	561961	225	1000	1	4.44444
1	575744	231	1000	1	4.329
1	572736	230	1000	1	4.34783
1	577932	232	1000	1	4.31034
1	566727	227	1000	1	4.40529
1	570531	229	1000	1	4.36681
1	567933	228	1000	1	4.38596
1	554868	222	1000	1	4.5045
1	569512	228	1000	1	4.38596
1	590837	237	1000	1	4.21941
1	571425	229	1000	1	4.36681
1	586499	235	1000	1	4.25532
1	569565	228	1000	1	4.38596
1	569845	228	1000	1	4.38596
1	577705	232	1000	1	4.31034
1	585603	235	1000	1	4.25532
1	563346	226	1000	1	4.42478
1	553830	222	1000	1	4.5045
1	571224	229	1000	1	4.36681
1	575930	231	1000	1	4.329
1	575552	231	1000	1	4.329
1	590665	237	1000	1	4.21941
1	557816	224	1000	1	4.46429
1	568820	228	1000	1	4.38596
1	576434	231	1000	1	4.329
1	567687	228	1000	1	4.38596
1	572132	229	1000	1	4.36681
1	592491	237	1000	1	4.21941
1	569060	228	1000	1	4.38596
1	565298	227	1000	1	4.40529
1	567024	227	1000	1	4.40529
1	570705	229	1000	1	4.36681
1	564602	226	1000	1	4.42478
1	577130	231	1000	1	4.329
1	590349	237	1000	1	4.21941
1	583091	234	1000	1	4.2735
1	571736	229	1000	1	4.36681
1	570277	229	1000	1	4.36681
1	577907	232	1000	1	4.31034
1	566605	227	1000	1	4.40529
1	565358	227	1000	1	4.40529
1	579798	232	1000	1	4.31034
1	575965	231	1000	1	4.329
1	567827	228	1000	1	4.38596
1	569376	228	1000	1	4.38596
1	565420	227	1000	1	4.40529
1	579585	232	1000	1	4.31034
1	575792	231	1000	1	4.329
1	572782	230	1000	1	4.34783
1	591891	237	1000	1	4.21941
1	560417	225	1000	1	4.44444
1	578418	232	1000	1	4.31034
1	564618	226	1000	1	4.42478
1	565141	227	1000	1	4.40529
1	571025	229	1000	1	4.36681
1	574730	230	1000	1	4.34783
1	581479	233	1000	1	4.29185
